Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:CLT,P:ATW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CLT,P:YUM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:COS,P:CRP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:COS,P:EWN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:COS,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:COU,P:PIA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CRP,P:ILG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CRW,P:ACY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CVG,P:BDL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CWA,P:CLL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:DRO,P:BMI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ECP,P:FLO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EGE,P:GRK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ELP,P:DAB,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:EWR,P:ATW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAR,P:HHH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAR,P:YUM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAY,P:ALO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FAY,P:MHK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FCA,P:ORF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FLL,P:HRL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FSD,P:SAT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FSM,P:CHO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FWA,P:EUG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:FWA,P:PVU,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GEG,P:LRD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GGG,P:BOI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GNV,P:JAN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRB,P:LGA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRK,P:SAF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:GRK,P:SBP,From Loc1 to Loc2,1.0
